date,sentiment_score
2021-01-19,0.11659399999999996
2021-01-20,0.07255600000000002
2021-01-21,0.036638000000000004
2021-01-22,0.03742
2021-01-23,0.023230000000000004
2021-01-24,0.017498000000000003
2021-01-25,0.081397
2021-01-26,0.08504400000000001
2021-01-27,0.05383500000000001
2021-01-28,-0.002822807017543861
2021-01-29,-0.016153077609277384
2021-01-30,0.04303265449438195
2021-01-31,0.043890202342917996
2021-02-01,0.04097104072398184
2021-02-02,0.04118735019973366
2021-02-03,0.03476061293984104
2021-02-04,0.05456409335727103
2021-02-05,0.03118560431100842
2021-02-06,0.037727982801863104
2021-02-07,0.08677906066536199
2021-02-08,0.09680139372822298
2021-02-09,0.09280337837837839
2021-02-10,0.03838390804597701
