Date,Close
2/13/2020 16:00:00,1.18
2/14/2020 16:00:00,1.35
2/18/2020 16:00:00,1.34
2/19/2020 16:00:00,1.35
2/20/2020 16:00:00,1.4
2/21/2020 16:00:00,1.53
2/24/2020 16:00:00,1.57
2/25/2020 16:00:00,1.49
2/26/2020 16:00:00,1.46
2/27/2020 16:00:00,1.43
2/28/2020 16:00:00,1.42
3/2/2020 16:00:00,1.48
3/3/2020 16:00:00,1.48
3/4/2020 16:00:00,1.65
3/5/2020 16:00:00,1.45
3/6/2020 16:00:00,1.33
3/9/2020 16:00:00,1.22
3/10/2020 16:00:00,1.06
3/11/2020 16:00:00,0.91
3/12/2020 16:00:00,0.81
3/13/2020 16:00:00,0.74
3/16/2020 16:00:00,0.68
3/17/2020 16:00:00,0.67
3/18/2020 16:00:00,0.61
3/19/2020 16:00:00,0.7
3/20/2020 16:00:00,0.79
3/23/2020 16:00:00,0.75
3/24/2020 16:00:00,0.79
3/25/2020 16:00:00,0.82
3/26/2020 16:00:00,1.05
3/27/2020 16:00:00,1.04
3/30/2020 16:00:00,0.95
3/31/2020 16:00:00,0.64
4/1/2020 16:00:00,0.57
4/2/2020 16:00:00,0.49
4/3/2020 16:00:00,0.47
4/6/2020 16:00:00,0.53
4/7/2020 16:00:00,0.52
4/8/2020 16:00:00,0.56
4/9/2020 16:00:00,0.62
4/13/2020 16:00:00,0.59
4/14/2020 16:00:00,0.59
4/15/2020 16:00:00,0.58
4/16/2020 16:00:00,0.53
4/17/2020 16:00:00,0.56
4/20/2020 16:00:00,0.58
4/21/2020 16:00:00,0.54
4/22/2020 16:00:00,0.52
4/23/2020 16:00:00,0.53
4/24/2020 16:00:00,0.5
4/27/2020 16:00:00,0.49
4/28/2020 16:00:00,0.5
4/29/2020 16:00:00,0.5
4/30/2020 16:00:00,0.57
5/1/2020 16:00:00,0.64
5/4/2020 16:00:00,0.58
5/5/2020 16:00:00,0.55
5/6/2020 16:00:00,0.56
5/7/2020 16:00:00,0.52
5/8/2020 16:00:00,0.51
5/11/2020 16:00:00,0.5
5/12/2020 16:00:00,0.49
5/13/2020 16:00:00,0.39
5/14/2020 16:00:00,0.39
5/15/2020 16:00:00,0.55
5/18/2020 16:00:00,0.61
5/19/2020 16:00:00,0.58
5/20/2020 16:00:00,0.55
5/21/2020 16:00:00,0.61
5/22/2020 16:00:00,0.85
5/26/2020 16:00:00,0.91
5/27/2020 16:00:00,0.86
5/28/2020 16:00:00,0.88
5/29/2020 16:00:00,0.85
6/1/2020 16:00:00,0.86
6/2/2020 16:00:00,0.83
6/3/2020 16:00:00,0.82
6/4/2020 16:00:00,0.81
6/5/2020 16:00:00,0.82
6/8/2020 16:00:00,1.09
6/9/2020 16:00:00,1.1
6/10/2020 16:00:00,1.1
6/11/2020 16:00:00,0.91
6/12/2020 16:00:00,0.97
6/15/2020 16:00:00,1
6/16/2020 16:00:00,1.01
6/17/2020 16:00:00,0.92
6/18/2020 16:00:00,0.91
6/19/2020 16:00:00,0.87
6/22/2020 16:00:00,0.85
6/23/2020 16:00:00,0.91
6/24/2020 16:00:00,0.85
6/25/2020 16:00:00,0.85
6/26/2020 16:00:00,0.8
6/29/2020 16:00:00,0.82
6/30/2020 16:00:00,0.8
7/1/2020 16:00:00,0.8
7/2/2020 16:00:00,0.78
7/6/2020 16:00:00,0.81
7/7/2020 16:00:00,0.77
7/8/2020 16:00:00,0.78
7/9/2020 16:00:00,0.79
7/10/2020 16:00:00,0.81
7/13/2020 16:00:00,0.84
7/14/2020 16:00:00,0.84
7/15/2020 16:00:00,0.88
7/16/2020 16:00:00,0.91
7/17/2020 16:00:00,0.85
7/20/2020 16:00:00,0.83
7/21/2020 16:00:00,0.81
7/22/2020 16:00:00,0.73
7/23/2020 16:00:00,0.7
7/24/2020 16:00:00,0.69
7/27/2020 16:00:00,0.6
7/28/2020 16:00:00,0.63
7/29/2020 16:00:00,0.6
7/30/2020 16:00:00,0.57
7/31/2020 16:00:00,0.58
8/3/2020 16:00:00,0.59
8/4/2020 16:00:00,0.6
8/5/2020 16:00:00,0.57
8/6/2020 16:00:00,0.57
8/7/2020 16:00:00,0.55
8/10/2020 16:00:00,0.54
8/11/2020 16:00:00,0.55
8/12/2020 16:00:00,0.55
8/13/2020 16:00:00,0.7
8/14/2020 16:00:00,0.45
8/17/2020 16:00:00,0.46
8/18/2020 16:00:00,0.43
8/19/2020 16:00:00,0.41
8/20/2020 16:00:00,0.38
8/21/2020 16:00:00,0.39
8/24/2020 16:00:00,0.34
8/25/2020 16:00:00,0.34
8/26/2020 16:00:00,0.33
8/27/2020 16:00:00,0.32
8/28/2020 16:00:00,0.34
8/31/2020 16:00:00,0.34
9/1/2020 16:00:00,0.31
9/2/2020 16:00:00,0.32
9/3/2020 16:00:00,0.31
9/4/2020 16:00:00,0.31
9/8/2020 16:00:00,0.31
9/9/2020 16:00:00,0.31
9/10/2020 16:00:00,0.3
9/11/2020 16:00:00,0.3
9/14/2020 16:00:00,0.28
9/15/2020 16:00:00,0.27
9/16/2020 16:00:00,0.28
9/17/2020 16:00:00,0.26
9/18/2020 16:00:00,0.26
9/21/2020 16:00:00,0.24
9/22/2020 16:00:00,0.23
9/23/2020 16:00:00,0.21
9/24/2020 16:00:00,0.19
9/25/2020 16:00:00,0.18
9/28/2020 16:00:00,0.19
9/29/2020 16:00:00,0.19
9/30/2020 16:00:00,0.24
10/1/2020 16:00:00,0.26
10/2/2020 16:00:00,0.25
10/5/2020 16:00:00,0.24
10/6/2020 16:00:00,0.22
10/7/2020 16:00:00,0.22
10/8/2020 16:00:00,0.22
10/9/2020 16:00:00,0.22
10/12/2020 16:00:00,0.22
10/13/2020 16:00:00,0.21
10/14/2020 16:00:00,0.2
10/15/2020 16:00:00,0.19
10/16/2020 16:00:00,0.19
10/19/2020 16:00:00,0.19
10/20/2020 16:00:00,0.18
10/21/2020 16:00:00,0.17
10/22/2020 16:00:00,0.17
10/23/2020 16:00:00,0.18
