Date,Close
2/13/2020 16:00:00,0.61
2/14/2020 16:00:00,0.61
2/18/2020 16:00:00,0.61
2/19/2020 16:00:00,0.63
2/20/2020 16:00:00,0.67
2/21/2020 16:00:00,0.66
2/24/2020 16:00:00,0.62
2/25/2020 16:00:00,0.58
2/26/2020 16:00:00,0.27
2/27/2020 16:00:00,0.28
2/28/2020 16:00:00,0.25
3/2/2020 16:00:00,0.3
3/3/2020 16:00:00,0.37
3/4/2020 16:00:00,0.32
3/5/2020 16:00:00,0.29
3/6/2020 16:00:00,0.28
3/9/2020 16:00:00,0.24
3/10/2020 16:00:00,0.24
3/11/2020 16:00:00,0.23
3/12/2020 16:00:00,0.2
3/13/2020 16:00:00,0.18
3/16/2020 16:00:00,0.17
3/17/2020 16:00:00,0.17
3/18/2020 16:00:00,0.17
3/19/2020 16:00:00,0.18
3/20/2020 16:00:00,0.18
3/23/2020 16:00:00,0.17
3/24/2020 16:00:00,0.19
3/25/2020 16:00:00,0.19
3/26/2020 16:00:00,0.2
3/27/2020 16:00:00,0.19
3/30/2020 16:00:00,0.18
3/31/2020 16:00:00,0.17
4/1/2020 16:00:00,0.2
4/2/2020 16:00:00,0.22
4/3/2020 16:00:00,0.21
4/6/2020 16:00:00,0.22
4/7/2020 16:00:00,0.23
4/8/2020 16:00:00,0.23
4/9/2020 16:00:00,0.21
4/13/2020 16:00:00,0.22
4/14/2020 16:00:00,0.32
4/15/2020 16:00:00,0.26
4/16/2020 16:00:00,0.25
4/17/2020 16:00:00,0.27
4/20/2020 16:00:00,0.25
4/21/2020 16:00:00,0.24
4/22/2020 16:00:00,0.23
4/23/2020 16:00:00,0.25
4/24/2020 16:00:00,0.25
4/27/2020 16:00:00,0.26
4/28/2020 16:00:00,0.25
4/29/2020 16:00:00,0.32
4/30/2020 16:00:00,0.35
5/1/2020 16:00:00,0.44
5/4/2020 16:00:00,1.1
5/5/2020 16:00:00,1.3
5/6/2020 16:00:00,1.13
5/7/2020 16:00:00,0.84
5/8/2020 16:00:00,0.77
5/11/2020 16:00:00,0.84
5/12/2020 16:00:00,0.92
5/13/2020 16:00:00,0.83
5/14/2020 16:00:00,0.9
5/15/2020 16:00:00,0.84
5/18/2020 16:00:00,0.9
5/19/2020 16:00:00,1.01
5/20/2020 16:00:00,1.03
5/21/2020 16:00:00,0.99
5/22/2020 16:00:00,0.98
5/26/2020 16:00:00,0.94
5/27/2020 16:00:00,0.94
5/28/2020 16:00:00,0.9
5/29/2020 16:00:00,0.88
6/1/2020 16:00:00,0.96
